Project_ID,Project_Name,Project_Type,City,State,Region,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,Original_Contingency,Planned_Start_Date,Planned_End_Date,Actual_Start_Date,Forecast_End_Date,Project_Status,Current_Phase,Project_Manager_ID,Design_Manager_ID,Change_Manager_ID
PRJ-017,Mountain Gate Transit Center,Heavy Civil & Infrastructure,Fort Worth,TX,South,Corporate Owner,Guaranteed Maximum Price,DBB,Very High,Moderate,Slow,137983000,14392000,2021-08-16,2024-01-15,2021-08-14,2024-02-03,Completed,Closeout,PM-008,DM-005,CM-007
PRJ-018,Frontier Manufacturing Facility,Industrial,Salt Lake City,UT,Mountain,Public Agency,Cost Plus,CMAR,Low,Moderate,Standard,329366000,15948000,2021-06-02,2022-06-02,2021-06-02,2022-06-08,Completed,Closeout,PM-009,DM-006,CM-007
PRJ-019,Pioneer Research Center,Institutional,Spokane,WA,Pacific Northwest,Private Developer,Design-Build Agreement,Design-Build,Very High,Moderate,Standard,294523000,19679000,2022-08-16,2025-03-16,2022-09-01,2025-04-03,Completed,Closeout,PM-010,DM-010,CM-010
PRJ-020,Aspen Processing Plant,Industrial,Sacramento,CA,West,Private Developer,Guaranteed Maximum Price,Design-Bid-Build,Moderate,Low,Fast,216015000,8112000,2022-12-21,2025-02-19,2022-12-26,2025-02-17,Completed,Closeout,PM-011,DM-008,CM-012
PRJ-021,Desert View Processing Plant,Industrial,Spokane,WA,Pacific Northwest,Corporate Owner,Unit Price,Design-Bid-Build,High,Low,Slow,105525000,4904000,2021-11-13,2024-02-12,2021-11-26,2024-03-03,Completed,Closeout,PM-001,DM-006,CM-002
PRJ-022,Frontier Urban Village,Mixed-Use,Denver,CO,Mountain,Private Developer,Guaranteed Maximum Price,Design-Bid-Build,Low,Low,Standard,218801000,14174000,2021-06-30,2022-07-30,2021-08-03,2022-08-10,Completed,Closeout,PM-005,DM-009,CM-010
PRJ-023,Vista Retail Pavilion,Commercial,Reno,NV,West,Corporate Owner,Unit Price,IPD,Very High,Low,Standard,36537000,3314000,2022-09-18,2024-11-17,2022-09-29,2024-11-27,Completed,Closeout,PM-007,DM-004,CM-008
PRJ-024,Pioneer Community College,Institutional,Ogden,UT,Mountain,Private Developer,Unit Price,Design-Build,Moderate,Low,Slow,75829000,5224000,2022-10-16,2024-08-15,2022-10-03,2024-08-23,Completed,Closeout,PM-016,DM-004,CM-009
PRJ-025,Canyon Transit-Oriented Development,Mixed-Use,Colorado Springs,CO,Mountain,Institutional Owner,Cost Plus,IPD,Very High,Moderate,Slow,46069000,5528000,2023-08-20,2024-08-19,2023-08-25,2024-08-27,Completed,Closeout,PM-006,DM-009,CM-003
PRJ-026,Blue Mesa Processing Plant,Industrial,Reno,NV,West,Public Agency,Design-Build Agreement,Design-Build,Low,Moderate,Fast,166383000,5823000,2023-11-04,2026-04-04,2023-10-21,2026-04-13,Active,Commissioning,PM-008,DM-005,CM-007
PRJ-027,Red Rock Town Center 2,Mixed-Use,Austin,TX,South,Corporate Owner,Guaranteed Maximum Price,Design-Bid-Build,High,High,Standard,244845000,11174000,2021-03-15,2022-07-15,2021-03-16,2022-07-14,Completed,Closeout,PM-011,DM-012,CM-011
PRJ-028,Canyon Bridge Rehabilitation,Heavy Civil & Infrastructure,Lehi,UT,Mountain,Institutional Owner,Cost Plus,CMAR,High,High,Standard,73292000,5265000,2021-09-10,2023-08-11,2021-09-04,2023-08-21,Completed,Closeout,PM-015,DM-007,CM-004
PRJ-029,Frontier Urban Village 2,Mixed-Use,Bellevue,WA,Pacific Northwest,Public Agency,Design-Build Agreement,Design-Bid-Build,High,Low,Standard,90078000,5527000,2022-03-08,2023-09-06,2022-03-27,2023-10-07,Completed,Closeout,PM-004,DM-001,CM-008
PRJ-030,Sunset Corporate Center,Commercial,Fort Collins,CO,Mountain,Public Agency,Guaranteed Maximum Price,Design Build,High,Moderate,Fast,28294000,1653000,2021-10-25,2024-01-24,2021-11-14,2024-01-24,Completed,Closeout,PM-013,DM-009,CM-004
PRJ-031,Mountain Gate Water Facility,Heavy Civil & Infrastructure,Las Cruces,NM,Southwest,Private Developer,Guaranteed Maximum Price,Integrated Project Delivery,Moderate,High,Standard,51859000,2291000,2023-08-17,2024-08-16,2023-08-23,2024-08-28,Completed,Closeout,PM-004,DM-009,CM-007
PRJ-032,Blue Mesa Research Center,Institutional,Salt Lake City,UT,Mountain,Private Developer,Unit Price,Design-Build,Moderate,Moderate,Standard,43278000,3336000,2023-01-14,2024-08-14,2023-01-14,2024-08-11,Completed,Closeout,PM-009,DM-004,CM-006
PRJ-033,Pioneer Apartments,Residential,Eugene,OR,Pacific Northwest,Nonprofit,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Standard,114252000,5238000,2022-10-22,2024-04-21,2022-11-05,2024-04-25,Completed,Closeout,PM-005,DM-016,CM-007
PRJ-034,Summit Retail Pavilion,Commercial,Boise,ID,Mountain,Private Developer,Guaranteed Maximum Price,Design-Bid-Build,Moderate,Low,Slow,39832000,2011000,2024-04-20,2026-11-19,2024-04-21,2026-12-06,Active,Construction,PM-020,DM-003,CM-011
PRJ-035,Canyon Apartments,Residential,Henderson,NV,West,Public Agency,Unit Price,Design-Bid-Build,Very High,High,Standard,41279000,4953000,2022-02-17,2025-01-17,2022-02-11,2025-01-29,Completed,Closeout,PM-012,DM-002,CM-011
PRJ-036,Summit Medical Pavilion,Institutional,Reno,NV,West,Public Agency,Guaranteed Maximum Price,CMAR,High,Low,Slow,72447000,4213000,2024-01-16,2027-04-17,2024-01-28,2027-05-05,Active,Construction,PM-017,DM-006,CM-005
PRJ-037,Vista Civic Complex,Institutional,Las Vegas,NV,West,Public Agency,Guaranteed Maximum Price,Design-Bid-Build,High,High,Standard,92832000,6438000,2023-06-05,2025-11-03,2023-06-24,2025-11-15,Substantially Complete,Closeout,PM-002,DM-006,CM-005
PRJ-038,Northstar Neighborhood,Residential,Scottsdale,AZ,Southwest,Corporate Owner,Unit Price,Design-Bid-Build,Low,High,Standard,95451000,5593000,2024-03-08,2025-08-07,2024-03-15,2025-08-12,Completed,Closeout,PM-009,DM-006,CM-007
PRJ-039,Silver Creek Urban Village 2,Mixed-Use,San Diego,CA,West,Public Agency,Guaranteed Maximum Price,CMAR,Very High,High,Standard,80253000,9630000,2024-04-04,2026-11-03,2024-04-11,2026-11-25,Active,Construction,PM-012,DM-004,CM-011
PRJ-040,Pioneer Roadway Program,Heavy Civil & Infrastructure,Austin,TX,South,Public Agency,Guaranteed Maximum Price,CMAR,Very High,Low,Standard,39982000,4798000,2023-12-26,2026-07-26,2024-01-06,2026-08-05,Active,Construction,PM-009,DM-004,CM-005
PRJ-041,Riverbend Transit-Oriented Development,Mixed-Use,Las Cruces,NM,Southwest,Institutional Owner,Cost Plus,CMAR,Low,Low,Fast,260515000,14748000,2022-02-06,2023-02-06,2022-02-09,2023-02-09,Completed,Closeout,PM-012,DM-001,CM-006
PRJ-042,Blue Mesa Retail Pavilion,Commercial,St. George,UT,Mountain,Corporate Owner,Lump Sum,Design-Build,Very High,Moderate,Standard,23521000,1780000,2022-11-07,2023-11-07,2022-10-31,2023-11-25,Completed,Closeout,PM-005,DM-013,CM-005
PRJ-043,Copper Ridge Apartments,Residential,Austin,TX,South,Institutional Owner,Cost Plus,CMAR,Very High,Moderate,Fast,66206000,7869000,2023-04-26,2025-04-25,2023-05-17,2025-04-30,Completed,Closeout,PM-010,DM-008,CM-004
PRJ-044,Sunset Processing Plant 2,Industrial,Albuquerque,NM,Southwest,Public Agency,Guaranteed Maximum Price,CMAR,Low,High,Standard,194536000,12096000,2022-07-12,2025-07-11,2022-08-07,2025-07-25,Completed,Closeout,PM-016,DM-004,CM-011
PRJ-045,Pioneer Community College 2,Institutional,Provo,UT,Mountain,Institutional Owner,Design-Build Agreement,Design Build,Moderate,Moderate,Standard,141695000,12615000,2024-04-20,2027-01-19,2024-05-02,2027-01-31,Active,Construction,PM-024,DM-001,CM-011
PRJ-046,Riverbend Apartments,Residential,Mesa,AZ,Southwest,Private Developer,Design-Build Agreement,Design-Build,High,High,Standard,31286000,1816000,2022-12-11,2024-12-10,2022-12-30,2024-12-12,Completed,Closeout,PM-011,DM-015,CM-005
PRJ-047,Desert View Marketplace,Commercial,Salt Lake City,UT,Mountain,Private Developer,Unit Price,CMAR,Low,High,Slow,75198000,4642000,2023-01-14,2025-03-15,2023-01-15,2025-03-15,Completed,Closeout,PM-006,DM-008,CM-003
PRJ-048,Vista Medical Pavilion,Institutional,Mesa,AZ,Southwest,Private Developer,Guaranteed Maximum Price,Design-Bid-Build,Very High,Low,Fast,213634000,18294000,2021-12-03,2024-12-02,2021-12-06,2024-12-26,Completed,Closeout,PM-003,DM-002,CM-012
PRJ-049,Northstar Apartments,Residential,Scottsdale,AZ,Southwest,Institutional Owner,Design-Build Agreement,Design-Build,High,Moderate,Standard,35381000,3139000,2023-12-16,2026-08-16,2023-12-20,2026-08-17,Active,Construction,PM-009,DM-008,CM-002
PRJ-050,Evergreen Corporate Center,Commercial,Las Cruces,NM,Southwest,Private Developer,Guaranteed Maximum Price,CMAR,Low,High,Standard,176226000,6168000,2024-05-25,2026-05-25,2024-05-19,2026-05-28,Active,Construction,PM-013,DM-014,CM-009
PRJ-051,Evergreen Apartments,Residential,Tucson,AZ,Southwest,Private Developer,Unit Price,CMAR,Very High,Moderate,Slow,135815000,16298000,2022-07-31,2025-05-30,2022-07-18,2025-06-20,Completed,Closeout,PM-019,DM-011,CM-007
PRJ-052,Copper Ridge Retail Pavilion,Commercial,Spokane,WA,Pacific Northwest,Public Agency,Guaranteed Maximum Price,Design-Build,Moderate,Low,Standard,37364000,2685000,2022-11-23,2025-09-22,2022-11-09,2025-10-02,Completed,Closeout,PM-002,DM-009,CM-004
PRJ-053,Copper Ridge Office Campus,Commercial,Riverside,CA,West,Corporate Owner,Lump Sum,Design-Bid-Build,High,High,Fast,35443000,3237000,2021-04-26,2022-12-25,2021-04-24,2022-12-19,Completed,Closeout,PM-001,DM-004,CM-009
PRJ-054,Summit Processing Plant,Industrial,Meridian,ID,Mountain,Corporate Owner,Cost Plus,CMAR,High,Moderate,Slow,103115000,9069000,2022-07-16,2024-10-14,2022-07-22,2024-10-06,Completed,Closeout,PM-004,DM-006,CM-002
PRJ-055,Desert View Marketplace 2,Commercial,Meridian,ID,Mountain,Corporate Owner,Guaranteed Maximum Price,Design-Build,Moderate,Moderate,Standard,137364000,11809000,2021-12-11,2023-06-11,2021-12-11,2023-06-26,Completed,Closeout,PM-019,DM-010,CM-006
PRJ-056,Riverbend Medical Pavilion,Institutional,Phoenix,AZ,Southwest,Private Developer,Lump Sum,Design-Bid-Build,Very High,Moderate,Slow,127656000,9873000,2022-02-13,2024-01-14,2022-03-08,2024-01-29,Completed,Closeout,PM-019,DM-005,CM-001
PRJ-057,Summit Community College,Institutional,Denver,CO,Mountain,Private Developer,Guaranteed Maximum Price,IPD,High,Low,Fast,25635000,1591000,2021-11-13,2024-12-13,2021-11-21,2025-01-06,Completed,Closeout,PM-010,DM-016,CM-011
PRJ-058,Mountain Gate Housing Community,Residential,Bellevue,WA,Pacific Northwest,Institutional Owner,Lump Sum,Design-Build,Moderate,High,Standard,39523000,3274000,2023-02-24,2024-03-25,2023-02-21,2024-03-29,Completed,Closeout,PM-015,DM-008,CM-008
PRJ-059,Vista Transit-Oriented Development,Mixed-Use,Lehi,UT,Mountain,Private Developer,Guaranteed Maximum Price,Integrated Project Delivery,Low,Moderate,Slow,93219000,3492000,2024-01-26,2025-12-26,2024-03-02,2026-01-08,Substantially Complete,Commissioning,PM-010,DM-006,CM-002
PRJ-060,Summit Medical Pavilion 2,Institutional,Henderson,NV,West,Private Developer,Design-Build Agreement,Design-Build,Moderate,Moderate,Standard,26794000,1762000,2021-10-09,2024-12-08,2021-11-02,2024-12-12,Completed,Closeout,PM-003,DM-015,CM-007
PRJ-061,Red Rock Distribution Center,Industrial,Fort Worth,TX,South,Corporate Owner,Guaranteed Maximum Price,Design-Bid-Build,Low,Moderate,Standard,231610000,8106000,2023-03-07,2024-05-06,2023-03-14,2024-05-15,Completed,Closeout,PM-023,DM-012,CM-002
PRJ-062,Copper Ridge Housing Community,Residential,Las Cruces,NM,Southwest,Institutional Owner,Design-Build Agreement,Design-Bid-Build,Moderate,High,Fast,15016000,1343000,2022-03-03,2024-03-02,2022-03-27,2024-03-02,Completed,Closeout,PM-013,DM-015,CM-009
PRJ-063,Canyon Urban Village,Mixed-Use,Phoenix,AZ,Southwest,Institutional Owner,Guaranteed Maximum Price,Design-Build,Moderate,High,Fast,199081000,9292000,2022-12-04,2025-11-03,2022-12-21,2025-11-14,Substantially Complete,Commissioning,PM-016,DM-001,CM-002
PRJ-064,Riverbend Civic Complex,Institutional,Austin,TX,South,Public Agency,Guaranteed Maximum Price,Design-Bid-Build,Moderate,Low,Standard,89816000,3564000,2022-10-31,2024-08-30,2022-10-22,2024-08-30,Completed,Closeout,PM-024,DM-013,CM-006
PRJ-065,Riverbend Marketplace,Commercial,Mesa,AZ,Southwest,Private Developer,Lump Sum,DBB,Low,High,Standard,43110000,2056000,2023-06-30,2024-10-29,2023-07-30,2024-11-09,Completed,Closeout,PM-005,DM-008,CM-011
PRJ-066,Liberty Civic Complex,Institutional,Sacramento,CA,West,Public Agency,Guaranteed Maximum Price,CMAR,Low,Moderate,Standard,172986000,8072000,2022-11-22,2024-11-21,2022-12-13,2024-11-07,Completed,Closeout,PM-020,DM-015,CM-007
PRJ-067,Riverbend Housing Community,Residential,Fort Worth,TX,South,Public Agency,Guaranteed Maximum Price,CMAR,Very High,Low,Slow,19724000,1338000,2021-03-04,2023-07-04,2021-03-12,2023-07-27,Completed,Closeout,PM-009,DM-015,CM-009
PRJ-068,Copper Ridge Neighborhood,Residential,Las Cruces,NM,Southwest,Private Developer,Cost Plus,CMAR,Moderate,Low,Standard,19443000,717000,2022-08-24,2024-01-23,2022-09-05,2024-02-04,Completed,Closeout,PM-012,DM-007,CM-005
PRJ-069,Granite Medical Pavilion,Institutional,Fort Collins,CO,Mountain,Corporate Owner,Lump Sum,CMAR,Moderate,High,Slow,25315000,1905000,2021-06-27,2022-10-27,2021-07-04,2022-11-07,Completed,Closeout,PM-001,DM-012,CM-009
PRJ-070,Liberty Manufacturing Facility,Industrial,Salt Lake City,UT,Mountain,Public Agency,Cost Plus,Design-Bid-Build,High,Moderate,Standard,100372000,6292000,2022-07-23,2025-08-22,2022-08-04,2025-08-29,Completed,Closeout,PM-024,DM-006,CM-004
PRJ-071,Mountain Gate Marketplace,Commercial,Idaho Falls,ID,Mountain,Private Developer,Lump Sum,Design-Bid-Build,Moderate,Moderate,Standard,113195000,7713000,2021-07-10,2024-05-09,2021-07-29,2024-05-19,Completed,Closeout,PM-022,DM-007,CM-010
PRJ-072,Evergreen Mixed-Use District,Mixed-Use,Boise,ID,Mountain,Public Agency,Unit Price,Design-Bid-Build,Very High,Moderate,Slow,151175000,12344000,2023-02-14,2025-03-16,2023-02-24,2025-04-13,Completed,Closeout,PM-006,DM-013,CM-003
PRJ-073,Blue Mesa Apartments,Residential,Las Vegas,NV,West,Public Agency,Guaranteed Maximum Price,CMAR,High,Moderate,Standard,31695000,2317000,2022-03-10,2023-08-09,2022-02-24,2023-09-04,Completed,Closeout,PM-012,DM-001,CM-002
PRJ-074,Canyon Distribution Center,Industrial,Las Vegas,NV,West,Private Developer,Lump Sum,Design-Build,Moderate,Moderate,Standard,31649000,2020000,2021-08-26,2023-09-26,2021-09-13,2023-09-28,Completed,Closeout,PM-013,DM-005,CM-011
PRJ-075,Summit Urban Village,Mixed-Use,Spokane,WA,Pacific Northwest,Public Agency,Cost Plus,CMAR,Very High,Moderate,Slow,242388000,29087000,2023-10-13,2026-02-11,2023-10-08,2026-02-18,Substantially Complete,Commissioning,PM-005,DM-008,CM-004
PRJ-076,Vista Marketplace,Commercial,Dallas,TX,South,Institutional Owner,Cost Plus,IPD,Moderate,High,Standard,194781000,17296000,2021-02-13,2023-05-15,2021-02-13,2023-05-18,Completed,Closeout,PM-012,DM-001,CM-011
PRJ-077,Silver Creek Retail Pavilion,Commercial,Fort Collins,CO,Mountain,Private Developer,Guaranteed Maximum Price,CMAR,Very High,Low,Fast,202367000,16697000,2022-01-08,2023-11-08,2022-01-15,2023-11-22,Completed,Closeout,PM-016,DM-007,CM-002
PRJ-078,Northstar Community College,Institutional,Spokane,WA,Pacific Northwest,Public Agency,Lump Sum,Design-Bid-Build,Low,High,Fast,133597000,6396000,2022-02-20,2024-03-22,2022-02-09,2024-03-14,Completed,Closeout,PM-004,DM-015,CM-005
PRJ-079,Summit Retail Pavilion 2,Commercial,Fort Worth,TX,South,Institutional Owner,Lump Sum,Design-Build,Moderate,Moderate,Standard,155934000,12678000,2021-09-03,2024-04-03,2021-09-09,2024-04-05,Completed,Closeout,PM-003,DM-003,CM-003
PRJ-080,Granite Water Facility,Heavy Civil & Infrastructure,San Antonio,TX,South,Private Developer,Lump Sum,CMAR,Moderate,Moderate,Standard,306719000,11374000,2021-07-03,2023-01-01,2021-06-22,2022-12-18,Completed,Closeout,PM-014,DM-006,CM-008
PRJ-081,Desert View Transit-Oriented Development,Mixed-Use,Dallas,TX,South,Private Developer,Lump Sum,Design-Bid-Build,Moderate,High,Slow,140076000,12261000,2023-11-13,2026-01-12,2023-10-30,2026-01-12,Substantially Complete,Commissioning,PM-014,DM-013,CM-004
PRJ-082,Sunset Office Campus,Commercial,Bellevue,WA,Pacific Northwest,Institutional Owner,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Standard,117378000,5508000,2023-06-12,2025-12-11,2023-06-10,2025-12-24,Substantially Complete,Commissioning,PM-004,DM-007,CM-002
PRJ-083,Sunset Corporate Center 2,Commercial,Scottsdale,AZ,Southwest,Corporate Owner,Unit Price,Design-Bid-Build,High,High,Fast,17645000,1097000,2022-10-29,2024-12-28,2022-11-09,2025-01-03,Completed,Closeout,PM-019,DM-011,CM-011
PRJ-084,Northstar Retail Pavilion,Commercial,Salem,OR,Pacific Northwest,Public Agency,Lump Sum,Design-Bid-Build,Low,Moderate,Standard,179971000,7451000,2024-01-14,2025-10-14,2024-01-23,2025-11-04,Completed,Closeout,PM-020,DM-001,CM-011
PRJ-085,Red Rock Community College,Institutional,San Antonio,TX,South,Private Developer,Guaranteed Maximum Price,CMAR,Low,Moderate,Standard,72110000,3721000,2024-01-09,2026-07-10,2024-01-03,2026-07-05,Active,Construction,PM-005,DM-004,CM-005
PRJ-086,Mountain Gate Processing Plant,Industrial,Colorado Springs,CO,Mountain,Corporate Owner,Cost Plus,Design-Bid-Build,High,Moderate,Fast,119609000,12524000,2022-03-16,2025-01-13,2022-03-25,2025-01-19,Completed,Closeout,PM-022,DM-006,CM-001
PRJ-087,Vista Marketplace 2,Commercial,Meridian,ID,Mountain,Private Developer,Lump Sum,CMAR,Very High,High,Standard,17547000,1989000,2023-07-14,2025-10-12,2023-07-31,2025-10-14,Completed,Closeout,PM-016,DM-002,CM-010
PRJ-088,Canyon Transit Center,Heavy Civil & Infrastructure,Dallas,TX,South,Private Developer,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Standard,228698000,16539000,2023-10-31,2025-06-30,2023-11-17,2025-07-05,Completed,Closeout,PM-018,DM-004,CM-002
PRJ-089,Evergreen Housing Community,Residential,Fresno,CA,West,Corporate Owner,Unit Price,Design-Bid-Build,Low,Low,Standard,28248000,1858000,2024-05-21,2025-05-21,2024-05-07,2025-05-25,Completed,Closeout,PM-015,DM-012,CM-002
PRJ-090,Sunset Neighborhood,Residential,St. George,UT,Mountain,Institutional Owner,Unit Price,IPD,High,High,Standard,64382000,3586000,2024-04-06,2026-09-05,2024-03-23,2026-09-15,Active,Construction,PM-011,DM-014,CM-002
PRJ-018,Frontier Manufacturing Facility,Industrial,Salt Lake City,UT,Mountain,Public Agency,Cost Plus,CMAR,Low,Moderate,Standard,329366000,15948000,2021-06-02,2022-06-02,2021-06-02,2022-06-08,Completed,Closeout,PM-009,DM-006,CM-007
PRJ-072,Evergreen Mixed-Use District,Mixed-Use,Boise,ID,Mountain,Public Agency,Unit Price,Design-Bid-Build,Very High,Moderate,Slow,151175000,12344000,2023-02-14,2025-03-16,2023-02-24,2025-04-13,Completed,Closeout,PM-006,DM-013,CM-003
